cityId,city,districts
3303,新竹縣,竹東鎮
3305,新竹縣,竹北市
3306,新竹縣,湖口鄉
3307,新竹縣,橫山鄉
3308,新竹縣,新豐鄉
3309,新竹縣,芎林鄉
3310,新竹縣,寶山鄉
3311,新竹縣,北埔鄉
3312,新竹縣,峨眉鄉
3313,新竹縣,尖石鄉
3314,新竹縣,五峰鄉
34,宜蘭縣,Top
3401,宜蘭縣,宜蘭市
3402,宜蘭縣,羅東鎮
3403,宜蘭縣,蘇澳鎮
3404,宜蘭縣,頭城鎮
3405,宜蘭縣,礁溪鄉
3406,宜蘭縣,壯圍鄉
3407,宜蘭縣,員山鄉
3408,宜蘭縣,冬山鄉
3409,宜蘭縣,五結鄉
3410,宜蘭縣,三星鄉
3411,宜蘭縣,大同鄉
3412,宜蘭縣,南澳鄉
35,苗栗縣,Top
3501,苗栗縣,苗栗市
3502,苗栗縣,苑裡鎮
3503,苗栗縣,通霄鎮
3504,苗栗縣,竹南鎮
3505,苗栗縣,頭份市
3506,苗栗縣,後龍鎮
3507,苗栗縣,卓蘭鎮
3508,苗栗縣,大湖鄉
3509,苗栗縣,公館鄉
3510,苗栗縣,銅鑼鄉
3511,苗栗縣,南庄鄉
3512,苗栗縣,頭屋鄉
3513,苗栗縣,三義鄉
3514,苗栗縣,西湖鄉
3515,苗栗縣,造橋鄉
3516,苗栗縣,三灣鄉
3517,苗栗縣,獅潭鄉
3518,苗栗縣,泰安鄉
37,彰化縣,Top
3701,彰化縣,彰化市
3702,彰化縣,鹿港鎮
3703,彰化縣,和美鎮
3704,彰化縣,北斗鎮
3705,彰化縣,員林市
3706,彰化縣,溪湖鎮
3707,彰化縣,田中鎮
3708,彰化縣,二林鎮
3709,彰化縣,線西鄉
3710,彰化縣,伸港鄉
3711,彰化縣,福興鄉
3712,彰化縣,秀水鄉
3713,彰化縣,花壇鄉
3714,彰化縣,芬園鄉
3715,彰化縣,大村鄉
3716,彰化縣,埔鹽鄉
3717,彰化縣,埔心鄉
3718,彰化縣,永靖鄉
3719,彰化縣,社頭鄉
3720,彰化縣,二水鄉
3721,彰化縣,田尾鄉
3722,彰化縣,埤頭鄉
3723,彰化縣,芳苑鄉
3724,彰化縣,大城鄉
3725,彰化縣,竹塘鄉
3726,彰化縣,溪州鄉
38,南投縣,Top
3801,南投縣,南投市
3802,南投縣,埔里鎮
3803,南投縣,草屯鎮
3804,南投縣,竹山鎮
3805,南投縣,集集鎮
3806,南投縣,名間鄉
3807,南投縣,鹿谷鄉
3808,南投縣,中寮鄉
3809,南投縣,魚池鄉
3810,南投縣,國姓鄉
3811,南投縣,水里鄉
3812,南投縣,信義鄉
3813,南投縣,仁愛鄉
39,雲林縣,Top
3901,雲林縣,斗六市
3902,雲林縣,斗南鎮
3903,雲林縣,虎尾鎮
3904,雲林縣,西螺鎮
3905,雲林縣,土庫鎮
3906,雲林縣,北港鎮
3907,雲林縣,古坑鄉
3908,雲林縣,大埤鄉
3909,雲林縣,莿桐鄉
3910,雲林縣,林內鄉
3911,雲林縣,二崙鄉
3912,雲林縣,崙背鄉
3913,雲林縣,麥寮鄉
3914,雲林縣,東勢鄉
3915,雲林縣,褒忠鄉
3916,雲林縣,台西鄉
3917,雲林縣,元長鄉
3918,雲林縣,四湖鄉
3919,雲林縣,口湖鄉
3920,雲林縣,水林鄉
40,嘉義縣,Top
4001,嘉義縣,朴子市
4002,嘉義縣,布袋鎮
4003,嘉義縣,大林鎮
4004,嘉義縣,民雄鄉
4005,嘉義縣,溪口鄉
4006,嘉義縣,新港鄉
4007,嘉義縣,六腳鄉
4008,嘉義縣,東石鄉
4009,嘉義縣,義竹鄉
4010,嘉義縣,鹿草鄉
4011,嘉義縣,太保市
4012,嘉義縣,水上鄉
4013,嘉義縣,中埔鄉
4014,嘉義縣,竹崎鄉
4015,嘉義縣,梅山鄉
4016,嘉義縣,番路鄉
4017,嘉義縣,大埔鄉
4018,嘉義縣,阿里鄉
43,屏東縣,Top
4301,屏東縣,屏東市
4302,屏東縣,潮州鎮
4303,屏東縣,東港鎮
4304,屏東縣,恆春鎮
4305,屏東縣,萬丹鄉
4306,屏東縣,長治鄉
4307,屏東縣,麟洛鄉
4308,屏東縣,九如鄉
4309,屏東縣,里港鄉
4310,屏東縣,鹽埔鄉
4311,屏東縣,高樹鄉
4312,屏東縣,萬巒鄉
4313,屏東縣,內埔鄉
4314,屏東縣,竹田鄉
4315,屏東縣,新埤鄉
4316,屏東縣,枋寮鄉
4317,屏東縣,新園鄉
4318,屏東縣,崁頂鄉
4319,屏東縣,林邊鄉
4320,屏東縣,南州鄉
4321,屏東縣,佳冬鄉
4322,屏東縣,琉球鄉
4323,屏東縣,車城鄉
4324,屏東縣,滿州鄉
4325,屏東縣,枋山鄉
4326,屏東縣,三地鄉
4327,屏東縣,霧台鄉
4328,屏東縣,瑪家鄉
4329,屏東縣,泰武鄉
4330,屏東縣,來義鄉
4331,屏東縣,春日鄉
4332,屏東縣,獅子鄉
4333,屏東縣,牡丹鄉
44,澎湖縣,Top
4401,澎湖縣,馬公市
4402,澎湖縣,湖西鄉
4403,澎湖縣,白沙鄉
4404,澎湖縣,西嶼鄉
4405,澎湖縣,望安鄉
4406,澎湖縣,七美鄉
45,花蓮縣,Top
4501,花蓮縣,花蓮市
4502,花蓮縣,鳳林鎮
4503,花蓮縣,玉里鎮
4504,花蓮縣,新城鄉
4505,花蓮縣,吉安鄉
4506,花蓮縣,壽豐鄉
4507,花蓮縣,光復鄉
4508,花蓮縣,豐濱鄉
4509,花蓮縣,瑞穗鄉
4510,花蓮縣,富里鄉
4511,花蓮縣,秀林鄉
4512,花蓮縣,萬榮鄉
4513,花蓮縣,卓溪鄉
46,台東縣,Top
4601,台東縣,台東市
4602,台東縣,成功鎮
4603,台東縣,關山鎮
4604,台東縣,卑南鄉
4605,台東縣,大武鄉
4606,台東縣,太麻鄉
4607,台東縣,東河鄉
4608,台東縣,長濱鄉
4609,台東縣,鹿野鄉
4610,台東縣,池上鄉
4611,台東縣,綠島鄉
4612,台東縣,延平鄉
4613,台東縣,海端鄉
4614,台東縣,達仁鄉
4615,台東縣,金峰鄉
4616,台東縣,蘭嶼鄉
90,金門縣,Top
9001,金門縣,金城鎮
9002,金門縣,金沙鎮
9003,金門縣,金湖鎮
9004,金門縣,金寧鄉
9005,金門縣,烈嶼鄉
9006,金門縣,烏坵鄉
91,連江縣,Top
9101,連江縣,南竿鄉
9102,連江縣,北竿鄉
9103,連江縣,莒光鄉
9104,連江縣,東引鄉
